title,genres,language,country,release_year,director,actors,imdb_link,watched_date
Plush,Thriller,English,USA,2013,Catherine Hardwicke,Frances Fisher|James Kyson|Marlene Forte,http://www.imdb.com/title/tt2226519/,2013-03-11
Coffee Town,Comedy,English,USA,2013,Brad Copeland,Sunil Narkar|Ben Schwartz|Glenn Howerton,http://www.imdb.com/title/tt2234025/,2013-10-22
All Is Bright,Comedy|Drama,English,USA,2013,Phil Morrison,Sally Hawkins|Curtiss Cook|Peter Hermann,http://www.imdb.com/title/tt1462901/,2013-05-30
Straight A's,Comedy|Drama,English,USA,2013,James Cox,Jon Mack|Powers Boothe|Josh Meyers,http://www.imdb.com/title/tt2024506/,2013-06-21
The Square,Documentary|Drama|History|News,Arabic,Egypt,2013,Jehane Noujaim,Khalid Abdalla|Ahmed Hassan|Aida Elkashef,http://www.imdb.com/title/tt2486682/,2013-11-28
Carrie,Drama|Fantasy|Horror,English,USA,2013,Kimberly Peirce,Chloë Grace Moretz|Judy Greer|Portia Doubleday,http://www.imdb.com/title/tt1939659/,2013-04-04
ABCD (Any Body Can Dance),Drama|Musical,Hindi,India,2013,Remo,Lauren Gottlieb|Remo|Prabhudheva,http://www.imdb.com/title/tt2321163/,2013-12-23
Independence Daysaster,Action|Sci-Fi,English,Canada,2013,W.D. Hogan,Tom Everett Scott|Keenan Tracey|Nicholas Carella,http://www.imdb.com/title/tt2645670/,2013-09-23
Against the Wild,Adventure|Family,English,Canada,2013,Richard Boddington,Natasha Henstridge|CJ Adams|Erin Pitt,http://www.imdb.com/title/tt2475846/,2013-09-14
Living Dark: The Story of Ted the Caver,Horror,English,USA,2013,David Hunt,Matthew Alan|Chris Cleveland|Circus-Szalewski,http://www.imdb.com/title/tt2100573/,2013-04-20
The Lunchbox,Drama|Romance,Hindi,India,2013,Ritesh Batra,Nawazuddin Siddiqui|Nimrat Kaur|Lillete Dubey,http://www.imdb.com/title/tt2350496/,2013-12-23
Grace Unplugged,Drama|Music,English,USA,2013,Brad J. Silverman,Shawnee Smith|Michael Welch|Anthony Reynolds,http://www.imdb.com/title/tt2349460/,2013-09-24
The To Do List,Comedy|Romance,English,USA,2013,Maggie Carey,Donald Glover|Alia Shawkat|Scott Porter,http://www.imdb.com/title/tt1758795/,2013-01-01
Once Upon a Time in Queens,Comedy|Drama,English,USA,2013,Dave Rodriguez,Chazz Palminteri|Michael Rapaport|Paul Sorvino,http://www.imdb.com/title/tt1639397/,2013-11-01
The Amazing Catfish,Comedy|Drama,Spanish,Mexico,2013,Claudia Sainte-Luce,Ximena Ayala|Vera Wilson|José Manuel Orozco Angulo,http://www.imdb.com/title/tt2414046/,2013-03-29
Home Run,Drama|Sport,English,USA,2013,David Boyd,Vivica A. Fox|Drew Waters|Scott Elrod,http://www.imdb.com/title/tt2051894/,2013-09-26
The Knife of Don Juan,Comedy|Drama,Spanish,USA,2013,Tom Sanchez,Nataniel Sánchez|Antonio Arrué|Juan Carlos Montoya,http://www.imdb.com/title/tt1349485/,2013-07-04
The Vatican Exorcisms,Horror,English,Italy,2013,Joe Marino,Piero Maggiò|Anella Vastola|Joe Marino,http://www.imdb.com/title/tt3043194/,2013-05-16
The Green Inferno,Adventure|Horror,English,USA,2013,Eli Roth,Daryl Sabara|Richard Burgi|Magda Apanowicz,http://www.imdb.com/title/tt2403021/,2013-09-27
20 Feet from Stardom,Documentary|Music,English,USA,2013,Morgan Neville,Sheryl Crow|Lou Adler|Merry Clayton,http://www.imdb.com/title/tt2396566/,2013-02-23
Palo Alto,Drama,English,USA,2013,Gia Coppola,James Franco|Nat Wolff|Olivia Crocicchia,http://www.imdb.com/title/tt2479800/,2013-12-03
Antarctica: A Year on Ice,Adventure|Biography|Documentary|Drama,English,New Zealand,2013,Anthony Powell,Josh Swanson|Tom Hamann|Anthony Powell,http://www.imdb.com/title/tt2361700/,2013-02-02
Heli,Crime|Drama|Romance,Spanish,Mexico,2013,Amat Escalante,Kenny Johnston|Andrea Vergara|Gabriel Reyes,http://www.imdb.com/title/tt2852376/,2013-01-21
Zombie Hunter,Action|Comedy|Horror,English,USA,2013,K. King,Jason K. Wixom|Shona Kay|Jarrod Phillips,http://www.imdb.com/title/tt2446502/,2013-09-15
Trance,Crime|Drama|Mystery|Thriller,English,UK,2013,Danny Boyle,Rosario Dawson|Spencer Wilding|Tuppence Middleton,http://www.imdb.com/title/tt1924429/,2013-02-08
Banshee Chapter,Horror|Thriller,English,Germany,2013,Blair Erickson,Monique Candelaria|Katia Winter|Michael McMillian,http://www.imdb.com/title/tt2011276/,2013-02-18
Fruitvale Station,Biography|Drama|Romance,English,USA,2013,Ryan Coogler,Ahna O'Reilly|Melonie Diaz|Ariana Neal,http://www.imdb.com/title/tt2334649/,2013-06-07
Snitch,Action|Drama|Thriller,English,USA,2013,Ric Roman Waugh,Dwayne Johnson|Harold Perrineau|Nadine Velazquez,http://www.imdb.com/title/tt0882977/,2013-06-13
1982,Drama,English,USA,2013,Tommy Oliver,Bokeem Woodbine|Ruby Dee|Quinton Aaron,http://www.imdb.com/title/tt2388621/,2013-10-19
Escape from Tomorrow,Fantasy|Horror,English,USA,2013,Randy Moore,Trey Loney|Lee Armstrong|Amy Lucas,http://www.imdb.com/title/tt2187884/,2013-02-19
Treachery,Drama|Thriller,English,USA,2013,Travis Romero,Matthew Ziff|Lorraine Ziff|Michael Biehn,http://www.imdb.com/title/tt2380301/,2013-02-05
Water & Power,Crime|Drama,English,USA,2013,Richard Montoya,Nicholas Gonzalez|Angela Nordeng|Exie Booker,http://www.imdb.com/title/tt2052015/,2013-11-27
The Maid's Room,Thriller,English,USA,2013,Michael Walker,Paula Garcés|Annabella Sciorra|John Brodsky,http://www.imdb.com/title/tt2263814/,2013-09-23
Faith Connections,Biography|Documentary|Drama,Hindi,India,2013,Pan Nalin,Bhole Baba|Pant Shirt Baba|Shriman Umeshanad Brahmachari,http://www.imdb.com/title/tt2768766/,2013-07-23
Drinking Buddies,Comedy|Drama|Romance,English,USA,2013,Joe Swanberg,Olivia Wilde|Anna Kendrick|Ti West,http://www.imdb.com/title/tt2265398/,2013-03-11
Oz the Great and Powerful,Adventure|Family|Fantasy,English,USA,2013,Sam Raimi,Tim Holmes|Mila Kunis|James Franco,http://www.imdb.com/title/tt1623205/,2013-12-18
Mutual Friends,Comedy|Romance,English,USA,2013,Matthew Watts,Jennifer Lafleur|Cheyenne Jackson|Michael Stahl-David,http://www.imdb.com/title/tt2112209/,2013-01-04
Roadside,Drama|Horror|Mystery|Thriller,English,USA,2013,Eric England,Jack E. Curenton|Ace Marrero|Alan Pietruszewski,http://www.imdb.com/title/tt1958007/,2013-11-25
Blue Ruin,Crime|Drama|Thriller,English,USA,2013,Jeremy Saulnier,Devin Ratray|Eve Plumb|Amy Hargreaves,http://www.imdb.com/title/tt2359024/,2013-09-29
The Canyons,Drama|Thriller,English,USA,2013,Paul Schrader,Nolan Gerard Funk|Gus Van Sant|James Deen,http://www.imdb.com/title/tt2292959/,2013-01-08
UnDivided,Documentary,English,USA,2013,Sam Martin,Sam Adams|Steve Duin|Jeff Jacob,http://www.imdb.com/title/tt3564748/,2013-08-26
Along the Roadside,Comedy|Music|Romance,English,USA,2013,Zoran Lisinac,Matthew Emerick|Brock Baker|Sheldon Bailey,http://www.imdb.com/title/tt2290113/,2013-10-19
Side Effects,Crime|Drama|Thriller,English,USA,2013,Steven Soderbergh,Channing Tatum|David Costabile|Katie Lowes,http://www.imdb.com/title/tt2053463/,2013-08-03
Aroused,Documentary,English,USA,2013,Deborah Anderson,Lisa Ann|Jesse Jane|Kayden Kross,http://www.imdb.com/title/tt2403815/,2013-11-16
The Brain That Sings,Documentary|Family,Arabic,United Arab Emirates,2013,Amal Al-Agroobi,||,http://www.imdb.com/title/tt2638024/,2013-09-15
Cheap Thrills,Comedy|Crime|Drama|Horror|Thriller,English,USA,2013,E.L. Katz,Brighton Sharbino|Ethan Embry|Elissa Dowling,http://www.imdb.com/title/tt2389182/,2013-06-21
Echo Dr.,Action|Drama|Sci-Fi|Thriller,English,USA,2013,Patrick Ryan Sims,Claire Gordon-Harper|Hugh Mun|Johnathan Hurley,http://www.imdb.com/title/tt2343473/,2013-07-05
The Dirties,Crime|Drama|Thriller,English,Canada,2013,Matt Johnson,Paul Daniel Ayotte|Shailene Garnett|Matt Johnson,http://www.imdb.com/title/tt2334896/,2013-05-02
Bending Steel,Documentary,English,USA,2013,Dave Carroll,Chris 'Wonder' Schoeck||,http://www.imdb.com/title/tt2181837/,2013-09-30
This Is Martin Bonner,Drama,English,USA,2013,Chad Hartigan,Jan Haley|Paul Eenhoorn|Demetrius Grosse,http://www.imdb.com/title/tt1798291/,2013-06-09
A True Story,Comedy,English,USA,2013,Malcolm Goodwin,Katrina Bowden|Jon Gries|Kelen Coleman,http://www.imdb.com/title/tt1524083/,2013-12-25
Her Cry: La Llorona Investigation,Horror,English,USA,2013,Damir Catic,Nichole Ceballos|Ron Gelner|Parker Riggs,http://www.imdb.com/title/tt2469216/,2013-05-21
Dry Spell,Comedy|Romance,English,USA,2013,Travis Legge,Kristen Seavey|Suzi Lorraine|Travis Legge,http://www.imdb.com/title/tt2375036/,2013-02-02
Signed Sealed Delivered,Comedy|Drama,English,Canada,2013,Scott Smith,Eric Mabius|Daphne Zuniga|Crystal Lowe,http://www.imdb.com/title/tt3000844/,2013-05-04
A Plague So Pleasant,Drama|Horror|Thriller,English,USA,2013,Benjamin Roberds,Eva Boehnke|Maxwell Moody|David Chandler,http://www.imdb.com/title/tt2107644/,2013-07-17
The Dark Knight Rises,Action|Thriller,English,USA,2012,Christopher Nolan,Tom Hardy|Christian Bale|Joseph Gordon-Levitt,http://www.imdb.com/title/tt1345836/,2012-01-18
John Carter,Action|Adventure|Sci-Fi,English,USA,2012,Andrew Stanton,Daryl Sabara|Samantha Morton|Polly Walker,http://www.imdb.com/title/tt0401729/,2012-11-26
The Avengers,Action|Adventure|Sci-Fi,English,USA,2012,Joss Whedon,Chris Hemsworth|Robert Downey Jr.|Scarlett Johansson,http://www.imdb.com/title/tt0848228/,2012-01-06
Men in Black 3,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,English,USA,2012,Barry Sonnenfeld,Will Smith|Michael Stuhlbarg|Nicole Scherzinger,http://www.imdb.com/title/tt1409024/,2012-12-26
The Amazing Spider-Man,Action|Adventure|Fantasy,English,USA,2012,Marc Webb,Emma Stone|Andrew Garfield|Chris Zylka,http://www.imdb.com/title/tt0948470/,2012-06-25
Battleship,Action|Adventure|Sci-Fi|Thriller,English,USA,2012,Peter Berg,Liam Neeson|Alexander Skarsgård|Tadanobu Asano,http://www.imdb.com/title/tt1440129/,2012-03-02
Skyfall,Action|Adventure|Thriller,English,UK,2012,Sam Mendes,Albert Finney|Helen McCrory|Rory Kinnear,http://www.imdb.com/title/tt1074638/,2012-06-19
Brave,Adventure|Animation|Comedy|Family|Fantasy,English,USA,2012,Mark Andrews,Kelly Macdonald|John Ratzenberger|Julie Walters,http://www.imdb.com/title/tt1217209/,2012-04-23
Snow White and the Huntsman,Action|Adventure|Drama|Fantasy,English,USA,2012,Rupert Sanders,Chris Hemsworth|Kristen Stewart|Sam Claflin,http://www.imdb.com/title/tt1735898/,2012-02-10
Wreck-It Ralph,Adventure|Animation|Comedy|Family|Sci-Fi,English,USA,2012,Rich Moore,Jack McBrayer|Sarah Silverman|Joe Lo Truglio,http://www.imdb.com/title/tt1772341/,2012-09-30
The Hobbit: An Unexpected Journey,Adventure|Fantasy,English,USA,2012,Peter Jackson,Aidan Turner|Adam Brown|James Nesbitt,http://www.imdb.com/title/tt0903624/,2012-10-19
Wrath of the Titans,Action|Adventure|Fantasy,English,USA,2012,Jonathan Liebesman,Liam Neeson|Edgar Ramírez|Lily James,http://www.imdb.com/title/tt1646987/,2012-08-04
Dark Shadows,Comedy|Fantasy|Horror,English,USA,2012,Tim Burton,Johnny Depp|Chloë Grace Moretz|Christopher Lee,http://www.imdb.com/title/tt1077368/,2012-06-03
Madagascar 3: Europe's Most Wanted,Adventure|Animation|Comedy|Family,English,USA,2012,Eric Darnell,Jada Pinkett Smith|Martin Short|Cedric the Entertainer,http://www.imdb.com/title/tt1277953/,2012-12-27
Rise of the Guardians,Adventure|Animation|Family|Fantasy,English,USA,2012,Peter Ramsey,Hugh Jackman|Kamil McFadden|Khamani Griffin,http://www.imdb.com/title/tt1446192/,2012-10-19
The Twilight Saga: Breaking Dawn - Part 2,Adventure|Drama|Fantasy|Romance,English,USA,2012,Bill Condon,Robert Pattinson|Kristen Stewart|Taylor Lautner,http://www.imdb.com/title/tt1673434/,2012-07-08
The Twilight Saga: Breaking Dawn - Part 2,Adventure|Drama|Fantasy|Romance,English,USA,2012,Bill Condon,Robert Pattinson|Kristen Stewart|Taylor Lautner,http://www.imdb.com/title/tt1673434/,2012-05-31
The Bourne Legacy,Action|Adventure|Thriller,English,USA,2012,Tony Gilroy,Jeremy Renner|Scott Glenn|Stacy Keach,http://www.imdb.com/title/tt1194173/,2012-04-09
Life of Pi,Adventure|Drama|Fantasy,English,USA,2012,Ang Lee,Suraj Sharma|Rafe Spall|Tabu,http://www.imdb.com/title/tt0454876/,2012-02-21
Prometheus,Adventure|Mystery|Sci-Fi,English,USA,2012,Ridley Scott,Michael Fassbender|Charlize Theron|Sean Harris,http://www.imdb.com/title/tt1446714/,2012-11-01
Django Unchained,Drama|Western,English,USA,2012,Quentin Tarantino,Leonardo DiCaprio|Christoph Waltz|Ato Essandoh,http://www.imdb.com/title/tt1853728/,2012-08-06
The Expendables 2,Action|Adventure|Thriller,English,USA,2012,Simon West,Jason Statham|Sylvester Stallone|Bruce Willis,http://www.imdb.com/title/tt1764651/,2012-07-26
Cloud Atlas,Drama|Sci-Fi,English,Germany,2012,Tom Tykwer,Tom Hanks|Jim Sturgess|Jim Broadbent,http://www.imdb.com/title/tt1371111/,2012-08-21
The Campaign,Comedy,English,USA,2012,Jay Roach,Will Ferrell|Thomas Middleditch|Katherine LaNasa,http://www.imdb.com/title/tt1790886/,2012-04-28
Ice Age: Continental Drift,Adventure|Animation|Comedy|Family,English,USA,2012,Steve Martino,Peter Dinklage|Josh Gad|Drake,http://www.imdb.com/title/tt1667889/,2012-01-14
Hotel Transylvania,Animation|Comedy|Family|Fantasy,English,USA,2012,Genndy Tartakovsky,Steve Buscemi|Adam Sandler|Jon Lovitz,http://www.imdb.com/title/tt0837562/,2012-05-17
Safe House,Action|Crime|Mystery|Thriller,English,USA,2012,Daniel Espinosa,Denzel Washington|Ryan Reynolds|Sam Shepard,http://www.imdb.com/title/tt1599348/,2012-01-03
Mirror Mirror,Adventure|Comedy|Drama|Family|Fantasy,English,USA,2012,Tarsem Singh,Julia Roberts|Nathan Lane|Danny Woodburn,http://www.imdb.com/title/tt1667353/,2012-06-12
Dredd,Action|Sci-Fi,English,UK,2012,Pete Travis,Wood Harris|Jason Cope|Rakie Ayola,http://www.imdb.com/title/tt1343727/,2012-04-26
The Hunger Games,Adventure|Drama|Sci-Fi|Thriller,English,USA,2012,Gary Ross,Jennifer Lawrence|Josh Hutcherson|Anthony Reynolds,http://www.imdb.com/title/tt1392170/,2012-05-15
Journey 2: The Mysterious Island,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,English,USA,2012,Brad Peyton,Josh Hutcherson|Dwayne Johnson|Kristin Davis,http://www.imdb.com/title/tt1397514/,2012-10-20
Underworld: Awakening,Action|Fantasy|Horror,English,USA,2012,Måns Mårlind,Theo James|Stephen Rea|Sandrine Holt,http://www.imdb.com/title/tt1496025/,2012-12-29
Rock of Ages,Comedy|Drama|Musical|Romance,English,USA,2012,Adam Shankman,James Martin Kelly|Shane Hartline|Celina Beach,http://www.imdb.com/title/tt1336608/,2012-08-31
Abraham Lincoln: Vampire Hunter,Action|Fantasy|Horror,English,USA,2012,Timur Bekmambetov,Rufus Sewell|Dominic Cooper|Benjamin Walker,http://www.imdb.com/title/tt1611224/,2012-05-13
Lincoln,Biography|Drama|History|War,English,USA,2012,Steven Spielberg,Joseph Gordon-Levitt|Hal Holbrook|Bruce McGill,http://www.imdb.com/title/tt0443272/,2012-09-07
Les Misérables,Drama|Musical|Romance,English,USA,2012,Tom Hooper,Hugh Jackman|Eddie Redmayne|Anne Hathaway,http://www.imdb.com/title/tt1707386/,2012-01-15
The Dictator,Comedy|Romance,English,USA,2012,Larry Charles,Sayed Badreya|Aasif Mandvi|Horatio Sanz,http://www.imdb.com/title/tt1645170/,2012-12-01
This Means War,Action|Comedy|Romance,English,USA,2012,McG,Tom Hardy|Abigail Spencer|Warren Christie,http://www.imdb.com/title/tt1596350/,2012-10-01
Resident Evil: Retribution,Action|Horror|Sci-Fi|Thriller,English,Germany,2012,Paul W.S. Anderson,Milla Jovovich|Boris Kodjoe|Bingbing Li,http://www.imdb.com/title/tt1855325/,2012-06-15
Jack Reacher,Action|Crime|Mystery|Thriller,English,USA,2012,Christopher McQuarrie,Tom Cruise|Robert Duvall|David Oyelowo,http://www.imdb.com/title/tt0790724/,2012-05-07
ParaNorman,Adventure|Animation|Comedy|Family|Fantasy,English,USA,2012,Chris Butler,Anna Kendrick|Kodi Smit-McPhee|Elaine Stritch,http://www.imdb.com/title/tt1623288/,2012-10-24
Trouble with the Curve,Drama|Sport,English,USA,2012,Robert Lorenz,Clint Eastwood|Ed Lauter|Bob Gunton,http://www.imdb.com/title/tt2083383/,2012-11-02
The Avengers,Action|Adventure|Sci-Fi,English,USA,2012,Joss Whedon,Chris Hemsworth|Robert Downey Jr.|Scarlett Johansson,http://www.imdb.com/title/tt0848228/,2012-05-21
Red Tails,Action|Adventure|Drama|History|War,English,USA,2012,Anthony Hemingway,David Oyelowo|Nate Parker|Tristan Mack Wilds,http://www.imdb.com/title/tt0485985/,2012-02-26
That's My Boy,Comedy,English,USA,2012,Sean Anders,Adam Sandler|Leighton Meester|Will Forte,http://www.imdb.com/title/tt1232200/,2012-12-01
The Watch,Action|Comedy|Sci-Fi,English,USA,2012,Akiva Schaffer,Will Forte|Nicholas Braun|Rosemarie DeWitt,http://www.imdb.com/title/tt1298649/,2012-12-23
The Pirates! Band of Misfits,Adventure|Animation|Comedy|Family,English,UK,2012,Peter Lord,Salma Hayek|Russell Tovey|Brian Blessed,http://www.imdb.com/title/tt1430626/,2012-04-10
Bullet to the Head,Action|Thriller,English,USA,2012,Walter Hill,Sylvester Stallone|Jason Momoa|Jon Seda,http://www.imdb.com/title/tt1308729/,2012-03-06
Zero Dark Thirty,Drama|History|Thriller,English,USA,2012,Kathryn Bigelow,Jennifer Ehle|Harold Perrineau|Parker Sawyers,http://www.imdb.com/title/tt1790885/,2012-05-19
Ted,Comedy|Fantasy,English,USA,2012,Seth MacFarlane,Mila Kunis|Seth MacFarlane|Tom Skerritt,http://www.imdb.com/title/tt1637725/,2012-04-01
American Reunion,Comedy,English,USA,2012,Jon Hurwitz,Alyson Hannigan|Dania Ramirez|Natasha Lyonne,http://www.imdb.com/title/tt1605630/,2012-07-30
Anna Karenina,Drama|Romance,English,UK,2012,Joe Wright,Kelly Macdonald|Guro Nagelhus Schia|Matthew Macfadyen,http://www.imdb.com/title/tt1781769/,2012-09-01
Taken 2,Action|Crime|Thriller,English,France,2012,Olivier Megaton,Liam Neeson|Luke Grimes|D.B. Sweeney,http://www.imdb.com/title/tt1397280/,2012-10-07
Savages,Crime|Drama|Thriller,English,USA,2012,Oliver Stone,Demián Bichir|Shea Whigham|Gary Stretch,http://www.imdb.com/title/tt1615065/,2012-10-10
Dredd,Action|Sci-Fi,English,UK,2012,Pete Travis,Wood Harris|Jason Cope|Rakie Ayola,http://www.imdb.com/title/tt1343727/,2012-02-19
Foodfight!,Action|Animation|Comedy|Family|Fantasy,English,USA,2012,Lawrence Kasanoff,Jerry Stiller|Larry Miller|Harvey Fierstein,http://www.imdb.com/title/tt0249516/,2012-10-08
Argo,Biography|Drama|History|Thriller,English,USA,2012,Ben Affleck,Clea DuVall|Scoot McNairy|Tate Donovan,http://www.imdb.com/title/tt1024648/,2012-11-21
21 Jump Street,Action|Comedy|Crime,English,USA,2012,Phil Lord,Channing Tatum|Dax Flame|Rob Riggle,http://www.imdb.com/title/tt1232829/,2012-10-08
Here Comes the Boom,Action|Comedy|Sport,English,USA,2012,Frank Coraci,Salma Hayek|Reggie Lee|Charice,http://www.imdb.com/title/tt1648179/,2012-01-17
One for the Money,Action|Comedy|Crime|Romance|Thriller,English,USA,2012,Julie Anne Robinson,Fisher Stevens|Debbie Reynolds|Patrick Fischler,http://www.imdb.com/title/tt1598828/,2012-04-08
Man on a Ledge,Action|Crime|Thriller,English,USA,2012,Asger Leth,Robert Clohessy|Mandy Gonzalez|J. Smith-Cameron,http://www.imdb.com/title/tt1568338/,2012-03-22
The Odd Life of Timothy Green,Comedy|Drama|Family|Fantasy,English,USA,2012,Peter Hedges,Jennifer Garner|Odeya Rush|Common,http://www.imdb.com/title/tt1462769/,2012-03-14
The Guilt Trip,Comedy|Drama,English,USA,2012,Anne Fletcher,Miriam Margolyes|Tom Virtue|Julene Renee,http://www.imdb.com/title/tt1694020/,2012-05-20
The Impossible,Drama|Thriller,English,Spain,2012,J.A. Bayona,Naomi Watts|Geraldine Chaplin|Oaklee Pendergast,http://www.imdb.com/title/tt1649419/,2012-05-07
Big Miracle,Biography|Drama|Romance,English,USA,2012,Ken Kwapis,Ted Danson|Tim Blake Nelson|Andrew Daly,http://www.imdb.com/title/tt1430615/,2012-05-17
A Thousand Words,Comedy|Drama,English,USA,2012,Brian Robbins,John Gatins|Lou Saliba|Greg Collins,http://www.imdb.com/title/tt0763831/,2012-02-25
Frankenweenie,Animation|Comedy|Family|Horror|Sci-Fi,English,USA,2012,Tim Burton,Martin Landau|Catherine O'Hara|Atticus Shaffer,http://www.imdb.com/title/tt1142977/,2012-02-29
The Master,Drama,English,USA,2012,Paul Thomas Anderson,Mike Howard|Jeffrey W. Jenkins|Bruce Goodchild,http://www.imdb.com/title/tt1560747/,2012-01-22
What to Expect When You're Expecting,Comedy|Drama|Romance,English,USA,2012,Kirk Jones,Anna Kendrick|Dennis Quaid|Thomas Lennon,http://www.imdb.com/title/tt1586265/,2012-12-03
This Is 40,Comedy,English,USA,2012,Judd Apatow,Charlyne Yi|Maude Apatow|Mackenzie Aladjem,http://www.imdb.com/title/tt1758830/,2012-05-02
Alex Cross,Action|Crime|Mystery|Thriller,English,USA,2012,Rob Cohen,Cicely Tyson|Chad Lindberg|Carmen Ejogo,http://www.imdb.com/title/tt1712170/,2012-04-18
Premium Rush,Action|Crime|Thriller,English,USA,2012,David Koepp,Joseph Gordon-Levitt|Dania Ramirez|Aasif Mandvi,http://www.imdb.com/title/tt1547234/,2012-01-02
Bait,Action|Horror|Sci-Fi,English,Australia,2012,Kimble Rendall,Alex Russell|Cariba Heine|Richard Brancatisano,http://www.imdb.com/title/tt1438173/,2012-07-29
Stolen,Action|Crime|Drama|Thriller,English,USA,2012,Simon West,Nicolas Cage|Mark Valley|Sami Gayle,http://www.imdb.com/title/tt1656186/,2012-10-24
Playing for Keeps,Comedy|Romance|Sport,English,USA,2012,Gabriele Muccino,Gerard Butler|Dennis Quaid|Judy Greer,http://www.imdb.com/title/tt1540128/,2012-10-13
Step Up Revolution,Drama|Music|Romance,English,USA,2012,Scott Speer,Ryan Guzman|Stephen Boss|Misha Gabriel Hamilton,http://www.imdb.com/title/tt1800741/,2012-10-10
Safe,Action|Crime|Thriller,English,USA,2012,Boaz Yakin,Jason Statham|Reggie Lee|Robert John Burke,http://www.imdb.com/title/tt1656190/,2012-12-08
Wanderlust,Comedy,English,USA,2012,David Wain,Justin Theroux|Lauren Ambrose|Joe Lo Truglio,http://www.imdb.com/title/tt1655460/,2012-06-28
Flight,Drama|Thriller,English,USA,2012,Robert Zemeckis,Denzel Washington|Bruce Greenwood|Nadine Velazquez,http://www.imdb.com/title/tt1907668/,2012-02-04
The Vow,Drama|Romance,English,USA,2012,Michael Sucsy,Channing Tatum|Lucas Bryant|Dillon Casey,http://www.imdb.com/title/tt1606389/,2012-05-18
Looper,Action|Crime|Drama|Sci-Fi|Thriller,English,USA,2012,Rian Johnson,Joseph Gordon-Levitt|Bruce Willis|Tracie Thoms,http://www.imdb.com/title/tt1276104/,2012-11-23
Hope Springs,Comedy|Drama|Romance,English,USA,2012,David Frankel,Meryl Streep|Steve Carell|Jean Smart,http://www.imdb.com/title/tt1535438/,2012-04-20
The Three Stooges,Comedy,English,USA,2012,Bobby Farrelly,Kate Upton|Larry David|Sean Hayes,http://www.imdb.com/title/tt0383010/,2012-10-12
The Cabin in the Woods,Fantasy|Horror|Mystery|Thriller,English,USA,2012,Drew Goddard,Chris Hemsworth|Bradley Whitford|Kristen Connolly,http://www.imdb.com/title/tt1259521/,2012-04-17
The Five-Year Engagement,Comedy|Romance,English,USA,2012,Nicholas Stoller,Alison Brie|Jacki Weaver|David Paymer,http://www.imdb.com/title/tt1195478/,2012-09-12
Joyful Noise,Comedy|Music,English,USA,2012,Todd Graff,Dolly Parton|Jeremy Jordan|Jesse L. Martin,http://www.imdb.com/title/tt1710396/,2012-11-05
The Raven,Crime|Mystery|Thriller,English,USA,2012,James McTeigue,Pam Ferris|Dave Legeno|Kevin McNally,http://www.imdb.com/title/tt1486192/,2012-05-30
Parental Guidance,Comedy|Family,English,USA,2012,Andy Fickman,Bailee Madison|Gedde Watanabe|Tom Everett Scott,http://www.imdb.com/title/tt1047540/,2012-03-28
The Lucky One,Drama|Romance,English,USA,2012,Scott Hicks,Blythe Danner|Riley Thomas Stewart|Jay R. Ferguson,http://www.imdb.com/title/tt1327194/,2012-10-31
Contraband,Action|Crime|Drama|Thriller,English,USA,2012,Baltasar Kormákur,J.K. Simmons|David O'Hara|Lukas Haas,http://www.imdb.com/title/tt1524137/,2012-11-15
A Perfect Plan,Comedy|Romance,French,France,2012,Pascal Chaumeil,Dany Boon|Malonn Lévana|Alice Pol,http://www.imdb.com/title/tt1986843/,2012-12-03
The Possession,Horror|Thriller,English,USA,2012,Ole Bornedal,Kyra Sedgwick|Madison Davenport|Natasha Calis,http://www.imdb.com/title/tt0431021/,2012-09-12
Cirque du Soleil: Worlds Away,Fantasy,English,USA,2012,Andrew Adamson,Dallas Barnett|Erica Linz|Igor Zaripov,http://www.imdb.com/title/tt1792647/,2012-07-03
On the Road,Adventure|Drama,English,France,2012,Walter Salles,Kristen Stewart|Viggo Mortensen|Kirsten Dunst,http://www.imdb.com/title/tt0337692/,2012-03-09
Diary of a Wimpy Kid: Dog Days,Comedy|Family,English,USA,2012,David Bowers,Zachary Gordon|Rachael Harris|Karan Brar,http://www.imdb.com/title/tt2023453/,2012-10-23
Hit and Run,Action|Comedy|Romance,English,USA,2012,David Palmer,Bradley Cooper|Tom Arnold|Beau Bridges,http://www.imdb.com/title/tt2097307/,2012-04-04
To Rome with Love,Comedy|Romance,English,USA,2012,Woody Allen,Ornella Muti|Judy Davis|Alessandra Mastronardi,http://www.imdb.com/title/tt1859650/,2012-06-13
Silver Linings Playbook,Comedy|Drama|Romance,English,USA,2012,David O. Russell,Jennifer Lawrence|Robert De Niro|Bradley Cooper,http://www.imdb.com/title/tt1045658/,2012-04-05
Madea's Witness Protection,Comedy|Crime|Drama,English,USA,2012,Tyler Perry,John Amos|Tom Arnold|Romeo Miller,http://www.imdb.com/title/tt2215285/,2012-03-22
Silent Hill: Revelation 3D,Adventure|Drama|Horror|Mystery|Thriller,English,France,2012,Michael J. Bassett,Radha Mitchell|Deborah Kara Unger|Martin Donovan,http://www.imdb.com/title/tt0938330/,2012-05-19
Lockout,Action|Adventure|Sci-Fi|Thriller,English,France,2012,James Mather,Joseph Gilgun|Vincent Regan|Jacky Ido,http://www.imdb.com/title/tt1592525/,2012-08-13
